Row,Time,Acceleration-x,Acceleration-y,Acceleration-z,Gyro-x,Gyro-y,Gyro-z,Mag-x,Mag-y,Mag-z
1,02:05:24,-0.119,-0.034,0.9,-3.456,-1.999,-0.58,-7.276,40.418,-12.915
2,02:05:24,-0.119,-0.039,0.899,-3.281,-1.884,-0.572,-6.034,39.884,-13.431
3,02:05:25,-0.12,-0.038,0.898,-3.487,-1.915,-0.519,-8.341,39.35,-13.603
4,02:05:25,-0.12,-0.034,0.897,-3.326,-1.961,-0.557,-6.921,40.774,-13.603
5,02:05:26,-0.12,-0.039,0.899,-3.349,-1.945,-0.595,-6.921,39.35,-13.259
6,02:05:26,-0.118,-0.037,0.897,-3.456,-1.877,-0.549,-5.501,40.774,-12.915
7,02:05:27,-0.121,-0.038,0.899,-3.387,-1.93,-0.534,-5.679,39.528,-13.087
8,02:05:27,-0.119,-0.039,0.898,-3.281,-1.854,-0.626,-8.163,38.459,-11.709
9,02:05:28,-0.12,-0.038,0.896,-3.372,-1.862,-0.603,-6.034,39.172,-12.398
10,02:05:28,-0.121,-0.036,0.898,-3.38,-1.984,-0.488,-5.856,39.706,-12.915
11,02:05:29,-0.12,-0.038,0.893,-3.349,-1.93,-0.511,-8.163,40.596,-13.776
12,02:05:29,-0.119,-0.039,0.896,-3.349,-1.968,-0.511,-7.809,40.596,-13.776
13,02:05:30,-0.119,-0.037,0.895,-3.334,-1.892,-0.587,-6.211,40.418,-14.292
14,02:05:30,-0.121,-0.037,0.899,-3.38,-1.93,-0.58,-6.211,40.062,-13.259
15,02:05:31,-0.122,-0.038,0.898,-3.349,-1.938,-0.58,-7.454,40.24,-14.12
16,02:05:31,-0.12,-0.037,0.901,-3.357,-1.938,-0.61,-6.566,38.637,-13.259
17,02:05:32,-0.12,-0.038,0.897,-3.357,-1.915,-0.633,-6.744,40.24,-14.12
18,02:05:32,-0.12,-0.038,0.897,-3.433,-1.915,-0.504,-6.211,38.993,-12.915
19,02:05:33,-0.119,-0.036,0.898,-3.326,-1.9,-0.504,-6.566,38.637,-13.259
20,02:05:33,-0.12,-0.038,0.897,-3.265,-1.862,-0.504,-6.921,39.35,-12.226
21,02:05:34,-0.121,-0.039,0.897,-3.418,-1.915,-0.504,-7.099,40.24,-13.087
22,02:05:34,-0.119,-0.038,0.898,-3.38,-1.869,-0.572,-6.566,39.35,-13.603
23,02:05:35,-0.118,-0.038,0.899,-3.334,-1.877,-0.587,-7.986,38.637,-13.948
24,02:05:35,-0.122,-0.038,0.898,-3.342,-1.915,-0.71,-7.809,39.528,-13.776
25,02:05:36,-0.119,-0.039,0.897,-3.304,-1.93,-0.58,-7.276,40.062,-12.915
26,02:05:36,-0.119,-0.038,0.897,-3.372,-1.9,-0.557,-6.744,41.308,-13.087
27,02:05:37,-0.12,-0.039,0.897,-3.532,-1.923,-0.626,-7.454,38.459,-13.431
28,02:05:37,-0.119,-0.039,0.898,-3.426,-1.846,-0.595,-5.856,38.993,-12.226
29,02:05:38,-0.119,-0.038,0.897,-3.395,-1.854,-0.511,-6.566,40.062,-14.292
30,02:05:38,-0.12,-0.037,0.897,-3.426,-1.869,-0.534,-6.566,39.706,-13.948
31,02:05:39,-0.122,-0.038,0.893,-3.296,-1.991,-0.587,-7.099,40.24,-13.431
32,02:05:39,-0.121,-0.039,0.898,-3.441,-1.923,-0.542,-7.099,40.596,-14.12
33,02:05:40,-0.12,-0.037,0.896,-3.342,-1.945,-0.626,-5.324,40.24,-14.12
34,02:05:40,-0.121,-0.037,0.899,-3.349,-1.991,-0.633,-6.921,38.637,-12.915
35,02:05:41,-0.119,-0.039,0.9,-3.319,-1.915,-0.687,-6.566,40.062,-13.948
36,02:05:41,-0.12,-0.037,0.898,-3.517,-1.999,-0.595,-8.163,39.172,-12.398
37,02:05:42,-0.12,-0.036,0.897,-3.357,-1.984,-0.565,-7.099,39.528,-13.776
38,02:05:42,-0.121,-0.036,0.897,-3.403,-1.907,-0.542,-7.276,39.35,-12.57
39,02:05:43,-0.119,-0.038,0.898,-3.395,-1.93,-0.557,-5.679,39.528,-12.742
40,02:05:43,-0.118,-0.038,0.896,-3.441,-1.991,-0.58,-6.744,40.24,-14.809
41,02:05:44,-0.12,-0.038,0.896,-3.395,-1.938,-0.542,-6.211,40.418,-13.603
42,02:05:44,-0.12,-0.039,0.897,-3.311,-2.022,-0.565,-7.454,40.596,-13.776
43,02:05:45,-0.118,-0.038,0.899,-3.403,-1.915,-0.633,-7.454,37.747,-13.431
44,02:05:45,-0.12,-0.037,0.898,-3.342,-1.923,-0.519,-6.211,40.418,-13.603
